816,Jose Mari,Pretemporada,MC,Cádiz CF
1101,Franquesa,Pretemporada,DF,Levante UD
1047,Luca,Pretemporada,PO,Rayo Vallecano
687,Braithwaite,Pretemporada,DC,FC Barcelona
1314,Pastore,Pretemporada,MC,Elche CF
1336,Martial,Pretemporada,DC,Sevilla FC
1351,Giovanni González,Pretemporada,DF,RCD Mallorca
786,Suso,Pretemporada,DC,Sevilla FC
881,Montoya,Pretemporada,DF,Real Betis
1296,Arias,Pretemporada,DF,Granada CF
679,Eteki,Pretemporada,MC,Granada CF
1052,Fran Merida,Pretemporada,MC,RCD Espanyol
856,Guridi,Pretemporada,MC,Real Sociedad
212,Cabaco,Pretemporada,DF,Getafe CF
1122,Petxarroman,Pretemporada,DF,Athletic Club
1264,Chapela,Pretemporada,MC,Cádiz CF
1215,Turrientes,Pretemporada,MC,Real Sociedad
360,Rubén Peña,Pretemporada,DF,C.A. Osasuna
78,Unai Nuñez,Pretemporada,DF,Athletic Club
1102,Mario H,Pretemporada,DF,Rayo Vallecano
298,Jaume Domenech,Pretemporada,PO,Valencia CF
855,Merquelanz,Pretemporada,MC,Rayo Vallecano
1162,Mat Ryan,Pretemporada,PO,Real Sociedad
1238,Isma Ruiz,Pretemporada,MC,Granada CF
1245,Miguel Gutiérrez,Pretemporada,DF,Real Madrid
908,Lunin,Pretemporada,PO,Real Madrid
1350,Arezo,Pretemporada,DC,Granada CF
1258,Koba Leïn,Pretemporada,MC,Valencia CF
1339,Lucas Olaza,Pretemporada,DF,Elche CF
1219,Agirrezabala,Pretemporada,PO,Athletic Club
1335,Cömert,Pretemporada,DF,Valencia CF
1214,Robert Navarro,Pretemporada,MC,Real Sociedad
608,Aarón Escandell,Pretemporada,PO,Granada CF
207,Coke,Pretemporada,DF,Levante UD
986,Guidetti,Pretemporada,DC,D. Alavés
114,Neto,Pretemporada,PO,FC Barcelona
1167,Dani Raba,Pretemporada,DC,Granada CF
1355,Saracchi,Pretemporada,DF,Levante UD
988,Sivera,Pretemporada,PO,D. Alavés
1016,Ramalho,Pretemporada,DF,C.A. Osasuna
894,Javi López,Pretemporada,DF,D. Alavés
1247,Kevin Rodrigues,Pretemporada,DF,Rayo Vallecano
1322,Raúl Torrente,Pretemporada,DF,Granada CF
1354,Clément Grenier,Pretemporada,MC,RCD Mallorca
1331,Orbelín,Pretemporada,DC,RC Celta
1218,Álex Balde,Pretemporada,DF,FC Barcelona
1057,Dídac,Pretemporada,DF,RCD Espanyol
1065,Oier,Pretemporada,PO,RCD Espanyol
773,Camarasa,Pretemporada,MC,Real Betis
1307,Hoppe,Pretemporada,DC,RCD Mallorca
805,Fali,Pretemporada,DF,Cádiz CF
61,Vitolo,Pretemporada,MC,Getafe CF
1228,Kike Hermoso,Pretemporada,MC,Real Betis
128,Lainez,Pretemporada,MC,Real Betis
1254,Iván Romero,Pretemporada,DC,Sevilla FC
1297,Jonathan Silva,Pretemporada,DF,Getafe CF
218,Vukcevic,Pretemporada,MC,Levante UD
1232,John Nwankwo,Pretemporada,DF,Elche CF
1185,Barbero,Pretemporada,DC,C.A. Osasuna
1292,Andone,Pretemporada,DC,Cádiz CF
1274,Javi Serrano,Pretemporada,MC,Atlético de Madrid
1248,Javi Díaz,Pretemporada,PO,Sevilla FC
648,Juan Pérez,Pretemporada,PO,C.A. Osasuna
1266,JGarcía,Pretemporada,PO,RCD Espanyol
1241,Unai Dufur,Pretemporada,DF,C.A. Osasuna
1246,ABlanco,Pretemporada,MC,Real Madrid
1184,Greif,Pretemporada,PO,RCD Mallorca
1054,Miguelón,Pretemporada,DF,RCD Espanyol
98,Umtiti,Pretemporada,DF,FC Barcelona
1231,Diego Conde,Pretemporada,PO,Getafe CF
1251,JCarmona,Pretemporada,DF,Sevilla FC
79,Capa,Pretemporada,DF,Athletic Club
1174,Saúl García,Pretemporada,DF,D. Alavés
1096,Areso,Pretemporada,DF,C.A. Osasuna
